DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP01,N,_Z,2019-10,105.5805,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP01,N,_Z,2019-09,105.7921,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,_T,N,_Z,2022-07,104.1694,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,_T,N,_Z,2022-06,103.7136,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP01,N,_Z,2024-01,123.8191,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP01,N,_Z,2023-12,123.1403,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP01,N,_Z,2023-11,123.6833,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,_T,N,_Z,2026-07,116.2504,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP01,N,_Z,2026-07,140.5184,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP11,N,_Z,2015-10,100.9769,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP11,N,_Z,2015-09,100.3599,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP11,N,_Z,2015-08,101.9023,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP11,N,_Z,2015-07,100.2571,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP11,N,_Z,2015-06,99.64011,A,,2015,,2
OECD.SDD.TPS:DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL(1.0),JPN,M,N,CPI,IX,CP11,N,_Z,2015-05,99.12596,A,,2015,,2
